Data extracted on 14/10/2024 15:15:52 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - ZAGREB/FRANJO TUDJMAN airport;:;;:;;78,001;;:;;111,798;;143,909;;168,335;;167,910;;156,850;;157,570;;86,052;;163,815;;191,030;;197,440;
AMSTERDAM/SCHIPHOL airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport;289,905;;403,104;;361,798;;355,695;;375,018;;332,506;;397,506;;443,939;;452,259;;454,460;;135,953;;236,771;;375,519;;392,501;
AMSTERDAM/SCHIPHOL airport - BALI INTL/NGURAH RAI airport;:;;:;;:;;:;;:;;:;;115,906;;136,950;;141,514;;143,003;;:;;:;;:;;113,089;
AMSTERDAM/SCHIPHOL airport - JAKARTA INTL/SOEKARNO-HATTA airport;:;;:;;:;;:;;80,315;;120,850;;251,631;;299,408;;309,782;;242,918;;:;;:;;:;;95,716;
AMSTERDAM/SCHIPHOL airport - JAKARTA CITY airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - CORK airport;149,622;;166,082;;170,711;;172,852;;169,436;;173,406;;178,476;;168,017;;155,856;;157,079;;:;;:;;191,218;;207,832;
AMSTERDAM/SCHIPHOL airport - DUBLIN airport;436,997;;465,856;;484,409;;497,983;;514,218;;608,571;;937,217;;1,080,890;;1,194,902;;1,212,683;;365,265;;396,492;;1,003,177;;1,187,501;
AMSTERDAM/SCHIPHOL airport - TEL-AVIV/BEN GURION airport;284,471;;381,914;;319,755;;343,856;;343,530;;389,529;;511,745;;566,438;;583,064;;605,466;;100,233;;126,191;;440,771;;486,409;
AMSTERDAM/SCHIPHOL airport - MUMBAI airport;156,733;;158,226;;164,410;;176,367;;163,500;;:;;146,405;;230,974;;310,236;;180,116;;:;;:;;189,191;;188,036;
AMSTERDAM/SCHIPHOL airport - DELHI (IGI) airport;224,376;;225,351;;223,732;;207,834;;208,118;;210,687;;369,353;;455,545;;454,308;;291,296;;94,182;;104,094;;222,866;;262,456;
AMSTERDAM/SCHIPHOL airport - BANGALORE INTERNATIONAL airport, DEVENAHALLI, BANGALORE airport;:;;:;;:;;:;;:;;:;;:;;:;;164,145;;:;;:;;:;;:;;126,861;
AMSTERDAM/SCHIPHOL airport - HYDERABAD airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - TEHRAN/IMAM KHOMAINI INTL airport;175,764;;153,351;;137,825;;:;;:;;:;;:;;143,827;;99,777;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - TEHRAN/MEHRABAD INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - KEFLAVIK airport;86,146;;100,021;;119,316;;137,518;;158,472;;203,652;;314,015;;428,812;;449,787;;293,112;;:;;117,093;;238,011;;301,286;
AMSTERDAM/SCHIPHOL airport - BARI/PALESE airport;:;;:;;:;;:;;:;;:;;:;;82,449;;92,482;;100,494;;:;;:;;81,022;;96,705;
AMSTERDAM/SCHIPHOL airport - CATANIA/FONTANAROSSA airport;:;;:;;:;;:;;:;;:;;96,220;;155,965;;169,337;;170,055;;:;;87,708;;132,082;;118,736;
AMSTERDAM/SCHIPHOL airport - OLBIA/COSTA SMERALDA airport;:;;:;;:;;:;;:;;:;;:;;:;;85,637;;84,225;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MILANO/MALPENSA airport;558,300;;551,105;;402,185;;367,563;;353,983;;379,657;;466,531;;743,456;;839,261;;923,721;;248,867;;182,991;;415,983;;488,983;
AMSTERDAM/SCHIPHOL airport - BERGAMO/ORIO AL SERIO airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - TORINO/CASELLE airport;:;;:;;:;;:;;105,320;;131,032;;144,817;;116,951;;112,960;;112,742;;:;;:;;:;;88,680;
AMSTERDAM/SCHIPHOL airport - GENOVA/SESTRI airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;80,262;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MILANO/LINATE airport;204,226;;341,176;;484,966;;546,102;;547,914;;624,932;;651,546;;450,189;;381,152;;285,261;;:;;218,926;;440,383;;557,305;
AMSTERDAM/SCHIPHOL airport - BOLOGNA/BORGO PANIGALE airport;140,145;;157,275;;167,070;;172,024;;177,067;;187,273;;196,458;;200,463;;227,849;;228,063;;:;;104,309;;153,265;;194,987;
AMSTERDAM/SCHIPHOL airport - VERONA/VILLAFRANCA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;103,941;;:;;:;;:;;78,866;
AMSTERDAM/SCHIPHOL airport - VENEZIA/TESSERA airport;209,527;;278,336;;267,314;;298,793;;408,624;;486,013;;523,776;;444,015;;414,851;;413,913;;123,737;;189,898;;325,950;;404,672;
AMSTERDAM/SCHIPHOL airport - ROMA/FIUMICINO airport;810,898;;915,867;;929,215;;956,362;;1,028,875;;1,139,730;;1,099,076;;1,111,794;;1,064,657;;1,048,831;;292,234;;388,694;;795,808;;733,349;
AMSTERDAM/SCHIPHOL airport - NAPOLI/CAPODICHINO airport;:;;:;;76,147;;88,321;;105,810;;110,101;;210,982;;224,633;;225,946;;262,886;;77,702;;114,156;;221,707;;260,821;
AMSTERDAM/SCHIPHOL airport - PISA/S. GIUSTO airport;:;;:;;76,320;;82,155;;88,164;;104,668;;112,999;;112,002;;96,812;;123,204;;:;;:;;100,966;;134,108;
AMSTERDAM/SCHIPHOL airport - FIRENZE/PERETOLA airport;87,402;;119,901;;126,513;;129,360;;150,065;;191,096;;215,522;;260,580;;273,614;;270,502;;76,864;;119,615;;223,383;;265,866;
AMSTERDAM/SCHIPHOL airport - AMMAN/QUEEN ALIA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;81,858;
AMSTERDAM/SCHIPHOL airport - NARITA INTL airport;322,694;;214,671;;262,767;;281,034;;253,062;;232,031;;233,380;;251,852;;255,650;;301,404;;:;;:;;:;;128,635;
AMSTERDAM/SCHIPHOL airport - KANSAI INTL airport;184,992;;197,863;;207,883;;224,464;;218,551;;208,598;;172,302;;179,096;;183,083;;204,298;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - SAPPORO/NEW CHITOSE airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - FUKUOKA airport;:;;:;;:;;:;;91,211;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - NAIROBI/JOMO KENYATTA INTL. TWR/APP/NOF/MET/CIVIL AIRLINES airport;405,544;;409,105;;414,479;;396,333;;427,171;;420,322;;411,410;;410,097;;419,028;;412,671;;109,032;;135,156;;282,342;;351,803;
AMSTERDAM/SCHIPHOL airport - NAIROBI ACC,FIC,RCC,COM airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - Unknown airport - SOUTH KOREA;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - INCHEON INTL airport;177,660;;195,042;;224,528;;226,638;;242,804;;246,960;;260,766;;288,082;;293,910;;296,494;;101,139;;92,416;;137,118;;255,249;
AMSTERDAM/SCHIPHOL airport - GIMPO airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - KUWAIT/INTL airport;:;;:;;:;;:;;:;;:;;78,042;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - KUWAIT/INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ALMATY airport;:;;80,343;;77,407;;89,682;;80,859;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - BEIRUT/BEIRUT INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - KATUNAYAKE/BANDARANAIKE INTERNATIONAL airport COLOMBO airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - VILNIUS INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;84,521;
AMSTERDAM/SCHIPHOL airport - LUXEMBOURG airport;93,676;;105,590;;115,746;;124,416;;135,159;;148,490;;164,804;;168,231;;181,075;;185,681;;:;;96,070;;125,654;;160,758;
AMSTERDAM/SCHIPHOL airport - RIGA airport;:;;94,757;;97,905;;105,067;;121,370;;117,428;;128,782;;142,603;;156,979;;161,059;;:;;85,163;;145,481;;182,134;
AMSTERDAM/SCHIPHOL airport - CASABLANCA/MOHAMMED V airport;138,494;;114,773;;89,118;;112,622;;115,783;;126,518;;134,181;;132,546;;131,947;;132,723;;:;;:;;83,489;;137,324;
AMSTERDAM/SCHIPHOL airport - NADOR/EL AROUI airport;:;;93,077;;107,605;;120,110;;108,822;;94,810;;102,803;;94,242;;83,965;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MARRAKECH/MENARA airport;:;;:;;:;;95,583;;96,931;;90,928;;94,570;;96,127;;113,489;;136,389;;:;;:;;84,456;;137,162;
AMSTERDAM/SCHIPHOL airport - TANGER/IBN BATOUTA airport;:;;83,883;;87,338;;83,360;;75,909;;78,007;;79,824;;89,546;;85,198;;75,644;;:;;:;;79,559;;91,450;
AMSTERDAM/SCHIPHOL airport - LUQA airport;:;;:;;:;;:;;77,733;;95,384;;103,865;;118,438;;110,037;;94,583;;:;;:;;101,088;;109,216;
AMSTERDAM/SCHIPHOL airport - MEXICO airport;176,717;;183,519;;187,859;;189,115;;194,071;;199,790;;252,398;;311,638;;334,163;;348,241;;148,237;;227,460;;344,083;;339,725;
AMSTERDAM/SCHIPHOL airport - CANCUN airport;108,375;;96,766;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;91,345;;:;
AMSTERDAM/SCHIPHOL airport - SEPANG/KL INTERNATIONAL airport;454,929;;462,017;;458,235;;475,536;;440,600;;425,008;;203,296;;192,354;;127,750;;125,937;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - LAGOS/MURTALA MUHAMMED airport;165,361;;173,662;;162,755;;173,833;;163,687;;179,315;;185,867;;185,829;;188,871;;184,290;;:;;84,259;;146,110;;171,898;
AMSTERDAM/SCHIPHOL airport - MAASTRICHT/AACHEN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - EINDHOVEN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ALESUND/VIGRA airport;:;;:;;:;;:;;87,221;;93,637;;84,370;;84,474;;83,826;;89,038;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - BERGEN/FLESLAND airport;232,595;;252,955;;283,683;;261,126;;291,846;;313,495;;314,163;;345,907;;356,301;;368,348;;109,614;;130,433;;305,605;;345,837;
AMSTERDAM/SCHIPHOL airport - LUFTFARTSTILSYNET CIVIL AVIATION AUTHORITY airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - KRISTIANSAND/KJEVIK airport;86,024;;109,246;;126,268;;126,417;;132,670;;135,310;;135,795;;133,625;;130,332;;133,723;;:;;:;;87,792;;109,374;
AMSTERDAM/SCHIPHOL airport - STATFJORD B airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - OSLO/GARDERMOEN airport;542,576;;596,747;;612,627;;604,646;;614,316;;641,112;;686,985;;707,428;;712,256;;723,482;;229,529;;222,098;;574,143;;674,092;
AMSTERDAM/SCHIPHOL airport - SANDEFJORD/TORP airport;82,895;;89,933;;113,681;;111,556;;108,203;;116,941;;114,004;;114,464;;108,603;;108,892;;:;;:;;:;;89,288;
AMSTERDAM/SCHIPHOL airport - TRONDHEIM/ST. OLAVS HOSPITAL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - TRONDHEIM/VAERNES airport;111,407;;143,000;;160,922;;166,162;;162,803;;160,918;;162,747;;159,415;;151,441;;155,109;;:;;:;;127,762;;137,771;
AMSTERDAM/SCHIPHOL airport - STAVANGER/SOLA airport;255,628;;289,773;;311,188;;298,741;;285,955;;274,473;;273,749;;275,620;;281,881;;297,152;;90,466;;103,563;;209,919;;250,231;
AMSTERDAM/SCHIPHOL airport - MUSCAT/MUSCAT INTL airport;:;;:;;:;;:;;:;;:;;75,407;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - PANAMA/TOCUMEN airport;133,776;;162,888;;200,289;;234,251;;242,336;;241,899;;241,427;;246,351;;236,470;;240,531;;83,712;;160,996;;243,140;;228,717;
AMSTERDAM/SCHIPHOL airport - LIMA-CALLAO/INTL JORGE CHAVEZ airport;200,902;;224,579;;224,101;;247,090;;253,104;;255,781;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - LIMA-CALLAO/INTL. JORGE CHAVEZ airport;:;;:;;:;;:;;:;;:;;210,822;;273,288;;282,008;;267,850;;:;;109,019;;252,284;;234,192;
AMSTERDAM/SCHIPHOL airport - MANILA/NINOY AQUINO INTL airport;245,796;;239,543;;:;;:;;:;;:;;113,200;;127,070;;119,625;;118,330;;:;;:;;97,682;;75,460;
AMSTERDAM/SCHIPHOL airport - MALABANG, LANAO DEL SUR airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - GDANSK IM LECHA WALESY airport;:;;:;;:;;:;;:;;:;;:;;:;;120,331;;151,358;;:;;125,539;;139,968;;164,735;
AMSTERDAM/SCHIPHOL airport - KRAKOW/BALICE airport;:;;:;;:;;:;;:;;:;;115,849;;131,993;;169,284;;211,139;;75,337;;107,441;;157,682;;200,849;
AMSTERDAM/SCHIPHOL airport - WARSZAWA/CHOPINA airport;285,792;;329,573;;339,697;;350,514;;370,948;;377,467;;415,990;;462,137;;495,000;;512,020;;160,738;;217,086;;418,210;;555,219;
AMSTERDAM/SCHIPHOL airport - FARO airport;203,835;;233,081;;249,162;;241,396;;241,950;;247,431;;352,931;;330,993;;273,286;;245,616;;110,269;;152,935;;229,279;;257,680;
AMSTERDAM/SCHIPHOL airport - MADEIRA airport;:;;:;;:;;:;;:;;:;;82,450;;87,467;;83,284;;84,813;;:;;:;;84,572;;102,493;
AMSTERDAM/SCHIPHOL airport - PORTO airport;:;;:;;:;;89,452;;124,457;;128,217;;188,524;;274,717;;345,055;;343,529;;117,441;;177,923;;318,351;;348,645;
AMSTERDAM/SCHIPHOL airport - LISBOA airport;437,184;;479,739;;587,130;;672,371;;668,913;;670,011;;773,831;;856,993;;896,373;;928,478;;332,296;;442,593;;901,568;;1,007,840;
AMSTERDAM/SCHIPHOL airport - DOHA INTERNATIONAL airport;:;;:;;:;;102,074;;109,875;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - HAMAD INTERNATIONAL airport;:;;:;;:;;:;;:;;182,124;;282,904;;231,300;;206,232;;220,144;;96,010;;96,070;;234,239;;321,913;
AMSTERDAM/SCHIPHOL airport - BUCURESTI/HENRI COANDA airport;288,125;;309,006;;329,810;;363,506;;394,392;;408,676;;428,393;;439,820;;471,028;;480,825;;166,396;;280,338;;439,552;;420,657;
AMSTERDAM/SCHIPHOL airport - BEOGRAD/NIKOLA TESLA airport;:;;:;;:;;:;;:;;103,157;;110,372;;136,920;;180,545;;176,453;;:;;82,289;;165,694;;205,964;
AMSTERDAM/SCHIPHOL airport - SANKT-PETERBURG/PULKOVO airport;109,448;;128,667;;134,893;;108,234;;105,622;;91,908;;108,308;;177,110;;170,170;;164,215;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MOSCOW/SHEREMETYEVO airport;314,206;;349,275;;375,963;;390,750;;472,519;;508,302;;519,232;;554,038;;602,386;;613,052;;131,566;;205,732;;:;;:;
AMSTERDAM/SCHIPHOL airport - KIGALI INTERNATIONAL airport;:;;:;;:;;:;;:;;76,542;;145,754;;171,839;;178,253;;180,627;;:;;84,572;;131,890;;132,604;
AMSTERDAM/SCHIPHOL airport - DAMMAM/KING FAHD INTERNATIONAL airport;86,031;;97,117;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - JEDDAH/KING ABDULAZIZ INTERNATIONAL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;75,365;;94,164;
AMSTERDAM/SCHIPHOL airport - RIYADH/KING KHALED INTERNATIONAL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;75,057;;120,990;
AMSTERDAM/SCHIPHOL airport - GOTEBORG/LANDVETTER airport;264,965;;275,836;;278,149;;270,360;;265,917;;297,502;;321,894;;368,001;;372,644;;364,256;;146,918;;163,734;;283,341;;304,702;
AMSTERDAM/SCHIPHOL airport - MALMO airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - STOCKHOLM/ARLANDA airport;511,216;;564,310;;630,033;;660,149;;691,498;;738,766;;780,884;;866,759;;857,209;;863,475;;301,921;;340,257;;672,564;;778,151;
AMSTERDAM/SCHIPHOL airport - LINKOPING/SAAB airport;78,228;;87,545;;100,479;;107,438;;108,404;;125,973;;133,817;;140,402;;143,013;;142,699;;:;;:;;80,436;;117,581;
AMSTERDAM/SCHIPHOL airport - SINGAPORE/CHANGI airport;414,883;;412,386;;439,865;;434,411;;427,274;;446,084;;324,664;;303,382;;307,597;;309,725;;85,771;;:;;276,091;;309,289;
AMSTERDAM/SCHIPHOL airport - LJUBLJANA/BRNIK airport;:;;:;;:;;:;;:;;:;;:;;76,015;;89,894;;83,848;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - JOHAN ADOLF PENGEL airport;264,489;;267,195;;258,824;;256,480;;251,626;;261,488;;253,867;;263,205;;274,314;;290,426;;92,880;;90,338;;247,005;;290,896;
AMSTERDAM/SCHIPHOL airport - DAMASCUS/INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - BANGKOK/DON MUEANG INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - BANGKOK/SUVARNABHUMI INTL airport;491,437;;519,807;;521,152;;516,833;;496,373;;497,787;;418,626;;332,736;;333,001;;328,501;;108,666;;:;;167,244;;272,131;
AMSTERDAM/SCHIPHOL airport - MONASTIR/HABIB BOURGUIBA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ENFIDHA ZINE EL ABIDINE BEN ALI airport;:;;:;;80,410;;87,351;;77,339;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ANKARA/ESENBOGA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ANTALYA (MIL-CIV) airport;604,485;;734,803;;715,660;;741,761;;714,327;;577,235;;445,646;;354,716;;386,255;;429,265;;:;;158,945;;380,418;;319,032;
AMSTERDAM/SCHIPHOL airport - ISTANBUL/ATATURK airport;478,947;;528,518;;611,814;;612,766;;628,552;;775,468;;789,922;;808,022;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - IZMIR/ADNAN MENDERES airport;143,683;;151,727;;151,704;;137,392;;162,642;;151,570;;112,932;;105,402;;125,468;;126,307;;:;;76,904;;129,004;;149,591;
AMSTERDAM/SCHIPHOL airport - MUGLA/DALAMAN airport;115,726;;131,860;;169,028;;168,483;;165,670;;151,952;;81,732;;78,682;;84,258;;89,934;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MUGLA/MILAS-BODRUM airport;156,947;;195,688;;232,997;;237,795;;196,891;;176,158;;124,735;;91,886;;109,723;;97,817;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - GAZIPASA-ALANYA airport;:;;:;;:;;:;;107,098;;103,699;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ISTANBUL/SABIHA GOKCEN airport;224,165;;232,674;;227,896;;351,979;;400,916;;353,634;;395,675;;415,669;;439,920;;441,376;;211,258;;376,486;;485,134;;583,958;
AMSTERDAM/SCHIPHOL airport - ISTANBUL/ISTANBUL HAVALIMANI airport;:;;:;;:;;:;;:;;:;;:;;:;;790,360;;917,963;;321,425;;474,374;;798,103;;792,412;
AMSTERDAM/SCHIPHOL airport - TAIBEI CITY/TAIBEI INTL AP airport;:;;:;;175,950;;245,062;;255,981;;268,763;;248,308;;286,494;;278,996;;280,361;;:;;:;;76,253;;186,278;
AMSTERDAM/SCHIPHOL airport - DAR ES SALAAM/JULIUS NYERERE airport;:;;:;;:;;:;;:;;:;;77,220;;100,323;;102,613;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - KILIMANJARO APP, TWR, AIS, MET, CIVIL AIRLINES airport;186,434;;187,772;;192,037;;179,709;;165,268;;135,684;;105,520;;98,097;;100,804;;145,301;;:;;79,790;;151,431;;163,948;
AMSTERDAM/SCHIPHOL airport - ZANZIBAR - KISAUNI airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;77,106;;:;
AMSTERDAM/SCHIPHOL airport - KYIV/BORYSPIL airport;150,108;;169,484;;254,585;;303,887;;237,568;;292,624;;352,053;;383,485;;258,562;;232,858;;127,172;;225,840;;:;;:;
AMSTERDAM/SCHIPHOL airport - ENTEBBE (INTL) airport;94,189;;:;;:;;:;;79,868;;102,871;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - BELFAST/ALDERGROVE airport;90,311;;101,971;;116,530;;104,286;;97,234;;101,814;;122,249;;122,230;;130,891;;130,098;;:;;:;;:;;:;
