TIME;2000-Q2;2001-Q2;2002-Q2;2003-Q2;2004-Q2;2005-Q2;2006-Q2;2007-Q2;2008-Q2;2009-Q2;2010-Q2;2011-Q2;2012-Q2;2013-Q2;2014-Q2;2015-Q2;2016-Q2;2017-Q2;2018-Q2;2019-Q2;2023-Q2;2024-Q2
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;41,896;68,399;65,684;68,110;72,845;76,582;85,166;48,080;53,133
AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport;41,187;52,797;36,903;43,837;49,813;54,574;72,053;70,942;75,608;67,111;98,490;127,552;127,586;133,519;157,019;184,094;191,722;203,266;215,282;238,696;227,580;224,942
AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;18,285;21,521;24,739;30,713;32,295;46,830;44,039
AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport;40,881;63,788;64,065;69,176;66,012;64,236;67,004;68,597;80,428;95,598;88,736;97,048;92,565;94,091;98,974;105,481;105,752;110,743;120,485;134,435;141,990;167,798
AMSTERDAM/SCHIPHOL airport - ST. MAARTEN/PRINCESS JULIANA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport;:;:;:;:;:;:;:;:;:;:;:;:;23,103;19,513;19,472;29,021;28,710;41,362;45,103;34,860;35,348;31,442
AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,361;12,584;8,043;8,476;:;:
AMSTERDAM/SCHIPHOL airport - WIEN-SCHWECHAT airport;119,806;109,399;107,632;101,061;115,528;114,132;118,000;144,890;151,666;132,061;119,550;144,006;138,753;147,421;151,344;155,394;195,327;212,744;231,638;269,019;218,074;220,958
AMSTERDAM/SCHIPHOL airport - SYDNEY/SYDNEY (KINGSFORD SMITH) INTL airport;22,460;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ORANJESTAD/BEATRIX airport;24,973;24,328;26,185;25,815;28,813;31,857;32,402;29,619;30,014;24,891;27,904;29,795;28,611;27,566;26,973;27,762;29,565;34,200;37,852;37,452;29,977;:
AMSTERDAM/SCHIPHOL airport - BRUSSELS airport;96,221;80,880;61,193;48,888;59,393;55,376;51,419;52,790;54,447;49,045;47,360;47,181;50,224;51,622;55,808;60,463;42,021;69,259;73,169;74,544;46,814;46,675
AMSTERDAM/SCHIPHOL airport - BURGAS airport;:;:;:;:;:;:;:;:;:;:;:;9,602;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - SOFIA airport;:;:;:;:;:;:;:;:;:;:;:;:;21,167;23,327;26,539;26,694;27,115;32,016;36,581;36,181;25,269;:
AMSTERDAM/SCHIPHOL airport - BAHRAIN INTERNATIONAL airport;:;:;:;:;:;:;18,119;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - FORTALEZA/ PINTO MARTINS, CE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;21,736;:;:
AMSTERDAM/SCHIPHOL airport - RIO DE JANEIRO/GALEAO-ANTONIO CARLOS JOBIM, RJ airport;:;:;:;:;:;:;:;:;:;:;:;:;19,781;33,286;37,135;38,556;34,556;43,955;51,023;49,111;42,517;44,591
AMSTERDAM/SCHIPHOL airport - SAO PAULO/GUARULHOS, GOVERNADOR ANDRE FRANCO MONTORO, SP airport;:;32,760;27,642;29,242;39,697;43,680;49,513;48,261;50,529;39,875;47,317;55,388;58,320;64,159;64,274;62,503;57,167;62,142;66,522;63,585;68,715;60,995
AMSTERDAM/SCHIPHOL airport - MINSK-2 airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - EDMONTON INTL, AB airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;20,953;24,913;25,264;25,609;22,923;:
AMSTERDAM/SCHIPHOL airport - MONTREAL INTL (MIRABEL), QC airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - MONTREAL/PIERRE ELLIOT TRUDEAU INTL, QC airport;51,227;71,369;58,215;42,823;47,698;45,797;48,710;49,558;49,255;48,153;45,770;47,899;49,066;49,180;49,318;49,837;49,013;46,139;44,038;46,342;43,451;86,649
AMSTERDAM/SCHIPHOL airport - VANCOUVER INTL, BC airport;57,744;53,607;43,965;41,182;53,587;52,382;58,104;60,194;63,198;53,904;48,914;57,351;63,766;61,592;55,026;57,386;58,942;57,998;65,119;70,119;65,677;56,340
AMSTERDAM/SCHIPHOL airport - CALGARY INTL, AB airport;:;:;:;:;:;:;:;:;:;:;27,603;30,980;39,857;47,164;47,670;50,777;48,445;53,179;54,665;53,272;53,037;53,554
AMSTERDAM/SCHIPHOL airport - TORONTO/LESTER B. PEARSON INTL, ON airport;103,357;103,574;100,524;78,574;101,566;100,742;105,809;117,934;131,333;101,179;93,020;106,363;112,449;107,864;100,334;104,253;140,953;162,375;181,915;157,579;148,627;144,907
AMSTERDAM/SCHIPHOL airport - BALE-MULHOUSE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;107,806;118,267;118,897;123,671;124,089;105,985;109,620
AMSTERDAM/SCHIPHOL airport - GENEVA airport;115,054;115,481;119,491;111,845;122,056;123,353;133,246;135,900;146,392;134,997;124,747;153,610;163,874;168,681;170,332;171,247;167,936;172,735;176,154;180,887;146,661;159,380
AMSTERDAM/SCHIPHOL airport - ZURICH airport;168,317;152,477;140,563;124,133;135,816;141,114;157,702;162,534;179,305;158,555;148,959;173,537;177,047;187,130;188,221;202,165;211,481;244,386;266,651;263,234;201,294;212,104
AMSTERDAM/SCHIPHOL airport - SANTIAGO/AP ARTURO MERINO BENITEZ airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - BEIJING/CAPITAL airport;25,465;27,914;32,509;10,591;48,287;62,303;59,778;73,824;64,586;62,716;69,660;63,952;64,022;83,888;76,246;89,611;87,599;92,288;90,335;92,347;40,296;40,544
AMSTERDAM/SCHIPHOL airport - BEIJING/DAXING INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;39,568
AMSTERDAM/SCHIPHOL airport - GUANGZHOU/BAIYUN airport;:;:;:;:;:;:;:;:;:;:;:;19,080;35,148;33,551;33,282;35,414;36,512;35,367;45,744;46,516;25,237;40,167
AMSTERDAM/SCHIPHOL airport - XIAMEN/GAOQI airport;:;:;:;:;:;:;:;:;:;:;:;:;19,954;:;:;21,287;29,854;34,809;38,534;36,484;20,838;22,758
AMSTERDAM/SCHIPHOL airport - HANGZHOU/XIAOSHAN airport;:;:;:;:;:;:;:;:;:;:;:;20,867;22,187;20,609;:;22,248;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - SHANGHAI/PUDONG airport;:;:;:;:;36,504;45,249;45,379;62,514;70,617;71,631;71,803;82,857;86,007;84,041;83,418;82,576;91,087;107,038;113,016;120,441;65,846;78,615
AMSTERDAM/SCHIPHOL airport - SHANGHAI/HONGQIAO airport;:;:;:;15,609;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - CHENGDU/SHUANGLIU airport;:;:;:;:;:;:;:;:;:;:;:;20,607;21,487;21,969;22,237;22,590;19,598;27,985;28,297;27,356;:;:
AMSTERDAM/SCHIPHOL airport - BOGOTA INTL/CUNDINAMARCA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;19,503;30,181;:
AMSTERDAM/SCHIPHOL airport - ALAJUELA/JUAN SANTAMARIA INTL. airport;:;:;:;17,740;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - HABANA/JOSE MARTI INTL. airport;:;:;:;:;:;:;:;:;:;:;:;:;:;17,961;17,911;18,426;29,196;46,033;32,041;19,176;:;:
AMSTERDAM/SCHIPHOL airport - AMILCAR CABRAL/SAL ISLAND airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;14,563;:;:;:;:
AMSTERDAM/SCHIPHOL airport - LARNAKA/INTL airport;31,588;31,928;29,248;23,814;27,569;28,347;22,924;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - PRAHA/RUZYNE airport;77,769;81,226;88,957;87,417;94,419;93,676;108,791;109,228;129,119;112,199;95,453;127,237;102,420;120,643;124,793;138,121;162,304;179,311;188,947;207,066;150,272;175,199
AMSTERDAM/SCHIPHOL airport - BERLIN-BRANDENBURG airport;:;:;:;:;:;:;:;:;:;:;:;40,801;48,473;56,617;58,391;66,210;86,253;84,937;84,812;88,291;230,160;220,464
AMSTERDAM/SCHIPHOL airport - FRANKFURT/MAIN airport;162,804;163,175;151,212;138,665;145,663;139,530;157,674;153,590;159,024;154,949;143,158;189,281;195,050;188,554;207,210;233,819;220,802;225,002;234,283;243,352;170,204;167,594
AMSTERDAM/SCHIPHOL airport - MUENSTER/OSNABRUECK airport;20,483;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - HAMBURG airport;58,110;59,852;61,960;52,542;62,143;63,601;66,471;70,779;74,797;70,368;74,459;91,727;100,626;99,026;100,770;121,863;132,107;116,229;121,783;123,979;88,728;87,343
AMSTERDAM/SCHIPHOL airport - KOELN/BONN airport;24,028;21,463;21,579;:;:;:;:;:;20,207;:;21,572;25,791;23,642;24,041;25,941;23,641;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - DUESSELDORF airport;47,506;36,278;34,746;26,566;34,156;37,185;35,565;36,527;39,751;39,503;39,915;45,859;45,698;40,759;47,587;52,381;57,232;59,043;62,327;64,073;54,752;60,320
AMSTERDAM/SCHIPHOL airport - MUENCHEN airport;109,141;119,971;100,357;93,609;110,101;114,353;130,606;141,609;160,465;155,285;143,794;182,801;177,185;184,463;188,021;209,803;214,466;261,198;259,509;261,683;183,240;209,480
AMSTERDAM/SCHIPHOL airport - NUERNBERG airport;27,436;32,167;24,515;20,810;27,627;30,261;35,959;32,121;37,968;34,227;36,168;39,149;41,284;43,241;43,784;51,259;51,669;51,614;51,539;54,771;46,368;53,036
AMSTERDAM/SCHIPHOL airport - STUTTGART airport;48,798;47,028;44,819;35,626;42,669;47,091;55,053;52,561;53,519;43,606;41,489;49,214;54,625;58,224;63,651;82,733;85,811;86,090;90,991;89,720;70,624;69,716
AMSTERDAM/SCHIPHOL airport - BERLIN-TEGEL airport;59,774;65,758;66,390;62,928;75,160;81,648;113,114;100,711;102,980;108,412;103,612;126,305;115,225;124,701;136,674;150,276;150,160;160,089;175,096;191,340;:;:
AMSTERDAM/SCHIPHOL airport - HANNOVER airport;:;:;:;:;:;:;38,079;29,771;33,999;28,253;37,296;43,215;42,420;46,058;46,195;46,912;45,714;48,319;50,781;54,695;39,294;46,754
AMSTERDAM/SCHIPHOL airport - BREMEN airport;25,608;30,595;30,371;23,969;30,387;30,105;28,220;27,241;25,269;25,005;28,921;33,306;36,308;38,858;36,874;40,898;39,982;45,860;46,172;47,796;34,518;45,332
AMSTERDAM/SCHIPHOL airport - PADERBORN/LIPPSTADT airport;21,137;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - HANNOVER UIR airport;31,313;33,695;35,612;28,955;34,344;37,534;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - BILLUND airport;37,069;34,984;40,650;41,505;47,898;45,321;45,877;54,706;62,135;59,298;56,234;66,965;74,085;77,286;81,496;84,348;88,132;96,890;100,075;105,314;87,750;111,953
AMSTERDAM/SCHIPHOL airport - KOBENHAVN/KASTRUP airport;135,756;143,009;165,339;144,026;142,998;156,960;217,743;216,746;197,287;189,129;175,198;228,064;225,668;225,590;248,153;249,412;265,418;279,645;298,925;294,726;298,361;312,409
AMSTERDAM/SCHIPHOL airport - AALBORG airport;:;:;:;:;:;:;:;:;:;:;:;:;30,216;36,100;39,973;42,145;52,090;55,092;56,494;60,508;46,074;48,740
AMSTERDAM/SCHIPHOL airport - PUNTA CANA INTL. airport;:;:;:;:;:;:;:;19,623;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - GUAYAQUIL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;19,594;25,251;24,816;24,703;26,335;27,579;28,226;20,472;:
AMSTERDAM/SCHIPHOL airport - QUITO/MARISCAL SUCRE INTL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;27,015;26,020;23,804;:
AMSTERDAM/SCHIPHOL airport - QUITO airport;20,833;25,271;15,923;17,077;:;:;:;19,591;18,718;:;:;:;18,377;24,427;28,530;27,622;27,419;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - LENNART MERI TALLINN airport;:;:;:;:;:;:;:;20,125;23,190;:;:;:;26,554;24,674;23,346;21,098;24,963;29,987;30,689;22,251;22,274;:
AMSTERDAM/SCHIPHOL airport - CAIRO/INTL airport;49,850;49,177;40,211;27,359;35,481;48,310;45,859;52,833;57,269;49,931;56,134;40,787;39,761;49,559;37,299;38,282;40,303;18,816;21,923;23,388;25,875;:
AMSTERDAM/SCHIPHOL airport - HURGHADA / INTL airport;22,244;21,055;16,657;14,630;30,569;37,804;40,977;39,373;46,019;29,451;33,673;32,300;37,967;43,728;24,815;37,885;:;27,410;33,292;30,678;28,392;24,693
AMSTERDAM/SCHIPHOL airport - MARSA ALAM / INTL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;15,835;:;:
AMSTERDAM/SCHIPHOL airport - SHARM EL SHEIKH / INTL airport;:;:;:;:;:;25,767;22,795;24,718;27,055;21,444;23,774;17,304;25,918;29,063;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ATHINAI (APP,MET) airport;91,390;96,225;105,033;82,888;83,431;84,535;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ATHINAI/ELEFTHERIOS VENIZELOS airport;:;:;:;:;:;:;100,255;104,631;93,067;83,064;72,755;94,111;45,585;63,304;82,237;80,701;93,495;123,791;126,758;133,807;138,048;160,781
AMSTERDAM/SCHIPHOL airport - IRAKLION/NIKOS KAZANTZAKIS airport;115,845;115,090;100,934;86,118;78,257;82,305;99,350;94,571;92,887;65,755;63,505;67,343;55,098;67,200;72,288;75,417;80,825;95,995;90,407;78,597;84,347;89,621
AMSTERDAM/SCHIPHOL airport - KOS/IPPOKRATIS airport;41,913;39,981;40,887;35,720;31,459;39,049;45,135;46,576;48,018;41,441;34,485;42,806;42,012;52,809;54,657;52,754;29,426;63,221;57,444;51,456;45,136;:
AMSTERDAM/SCHIPHOL airport - KERKIRA/IOANNIS KAPODISTRIAS airport;31,075;28,934;24,942;:;:;23,962;28,508;25,270;25,408;:;:;:;:;:;:;:;26,896;31,306;35,590;25,855;:;:
AMSTERDAM/SCHIPHOL airport - PREVEZA/AKTION airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - RODOS/DIAGORAS airport;38,158;38,570;40,420;31,972;31,602;35,721;46,181;43,520;46,098;31,804;25,300;32,819;27,926;32,352;35,897;40,221;34,083;44,922;43,853;38,621;42,568;:
AMSTERDAM/SCHIPHOL airport - THESSALONIKI/MAKEDONIA airport;:;:;25,038;:;:;:;:;:;:;:;:;:;:;:;:;:;26,286;31,010;36,858;37,711;34,395;34,171
AMSTERDAM/SCHIPHOL airport - ZAKINTHOS/DIONISIOS SOLOMOS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;25,554;30,131;35,480;47,810;47,255;46,638;70,971;74,303
AMSTERDAM/SCHIPHOL airport - FUERTEVENTURA airport;18,712;22,559;22,771;26,862;21,996;18,797;22,966;19,688;21,012;16,579;:;16,409;15,128;17,287;16,178;15,436;26,727;30,976;26,693;24,490;23,098;:
AMSTERDAM/SCHIPHOL airport - GRAN CANARIA airport;81,945;79,839;75,640;70,413;63,130;57,475;68,143;58,087;59,290;47,622;47,207;50,633;49,284;53,074;51,090;58,277;81,157;79,454;77,459;67,191;73,114;76,524
AMSTERDAM/SCHIPHOL airport - LANZAROTE airport;34,445;34,289;30,467;33,150;25,722;21,343;26,354;25,663;20,589;18,430;17,066;18,665;20,679;25,778;24,206;24,831;31,699;36,582;29,537;21,827;22,278;:
AMSTERDAM/SCHIPHOL airport - TENERIFE SUR/REINA SOFIA airport;55,756;61,384;56,643;55,432;46,934;41,494;42,285;37,915;37,963;30,265;28,329;34,677;34,749;42,530;36,701;40,993;62,115;62,710;64,069;45,404;54,466;59,506
AMSTERDAM/SCHIPHOL airport - ALICANTE airport;64,471;73,346;66,727;70,809;68,874;66,248;64,842;61,144;53,613;50,133;39,399;60,824;62,995;76,492;76,155;84,950;107,414;134,997;119,851;121,992;139,603;160,544
AMSTERDAM/SCHIPHOL airport - BILBAO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;18,452;44,729;49,067;60,531;65,014;65,705;68,335;81,151
AMSTERDAM/SCHIPHOL airport - BARCELONA/EL PRAT airport;170,931;221,982;302,101;317,306;317,711;292,882;336,053;331,494;334,370;306,219;270,981;362,052;341,072;324,111;328,874;309,945;339,142;359,870;378,248;365,413;383,861;406,225
AMSTERDAM/SCHIPHOL airport - GIRONA airport;:;:;:;:;:;:;:;:;:;:;:;22,846;:;23,427;25,354;:;21,194;18,538;:;:;:;:
AMSTERDAM/SCHIPHOL airport - IBIZA airport;:;:;:;:;:;:;:;:;:;:;22,563;33,455;38,502;48,554;49,887;55,435;95,283;113,941;117,254;104,280;109,098;100,638
AMSTERDAM/SCHIPHOL airport - ADOLFO SUAREZ MADRID-BARAJAS airport;176,597;187,618;203,222;232,730;228,993;229,745;270,841;271,608;245,314;238,465;265,622;296,417;270,781;194,980;192,735;234,707;253,016;265,259;268,011;286,609;266,696;320,175
AMSTERDAM/SCHIPHOL airport - MALAGA/COSTA DEL SOL airport;103,322;104,899;112,446;115,312;102,787;97,882;105,315;100,416;104,436;89,886;84,886;96,306;102,156;98,579;103,418;115,973;162,361;206,573;180,308;186,648;216,376;248,955
AMSTERDAM/SCHIPHOL airport - PALMA DE MALLORCA airport;57,509;65,054;62,527;64,279;43,789;40,597;:;77,804;80,934;63,299;54,646;69,152;47,039;50,034;56,077;57,453;94,874;109,920;108,128;105,880;131,028;138,347
AMSTERDAM/SCHIPHOL airport - PALMA/SON SAN JUAN (MIL) airport;:;:;:;:;:;:;78,221;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - VALENCIA airport;:;:;:;:;:;:;33,952;40,904;42,407;43,399;41,869;41,387;42,138;42,160;43,886;46,993;65,837;74,821;97,202;96,792;106,514;131,243
AMSTERDAM/SCHIPHOL airport - SEVILLA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;31,414;34,343;42,358;37,580;38,651;43,309;42,009;43,871
AMSTERDAM/SCHIPHOL airport - HELSINKI-MALMI airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - HELSINKI/VANTAA airport;81,926;81,082;91,315;86,022;100,823;108,465;116,492;116,639;109,688;113,574;105,655;140,369;126,732;130,688;137,500;138,943;151,687;175,532;189,564;191,931;151,712;152,365
AMSTERDAM/SCHIPHOL airport - BORDEAUX-MERIGNAC airport;:;:;:;:;:;:;:;22,631;26,689;27,844;29,130;32,008;32,812;41,897;68,614;87,027;89,931;89,699;92,088;88,478;51,032;54,258
AMSTERDAM/SCHIPHOL airport - TOULOUSE/BLAGNAC airport;32,363;35,323;34,167;34,553;42,843;42,410;43,453;45,723;45,543;41,091;37,627;46,515;50,546;57,448;60,548;70,187;80,054;79,581;76,821;75,368;58,801;69,713
AMSTERDAM/SCHIPHOL airport - LYON SAINT-EXUPERY airport;44,444;40,693;39,109;39,897;52,273;54,356;50,157;47,514;52,086;44,886;39,123;44,991;51,032;58,377;59,944;66,496;96,468;99,701;94,736;85,482;74,530;66,192
AMSTERDAM/SCHIPHOL airport - MARSEILLE-PROVENCE airport;:;:;:;24,080;19,673;29,299;30,522;34,247;46,651;45,813;43,721;50,067;57,170;65,639;67,791;70,395;86,066;93,516;92,069;82,158;39,059;62,319
AMSTERDAM/SCHIPHOL airport - NICE-COTE D'AZUR airport;77,225;113,372;123,331;111,812;119,714;110,319;96,781;97,500;96,982;88,754;79,321;93,294;97,714;110,591;110,273;118,156;130,337;146,975;130,569;143,312;119,712;145,768
AMSTERDAM/SCHIPHOL airport - MONTPELLIER MEDITERRANEE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;25,169;:;:
AMSTERDAM/SCHIPHOL airport - PARIS-CHARLES DE GAULLE airport;273,261;288,060;267,670;228,429;262,767;278,110;278,135;298,950;293,634;264,716;239,876;268,467;290,972;294,400;301,639;287,614;304,782;333,232;314,213;320,373;297,553;281,670
AMSTERDAM/SCHIPHOL airport - PARIS-ORLY airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;43,260;47,142;50,477;50,736;:;:
AMSTERDAM/SCHIPHOL airport - NANTES ATLANTIQUE airport;:;:;:;:;:;:;:;:;:;:;:;:;20,767;21,624;22,818;28,520;32,738;42,224;51,990;52,148;40,869;51,235
AMSTERDAM/SCHIPHOL airport - BALE-MULHOUSE airport;:;:;:;:;:;:;36,913;35,474;47,382;46,176;47,524;54,132;68,571;77,000;85,146;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - STRASBOURG-ENTZHEIM airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;21,179;22,021;21,075;26,446;:;:
AMSTERDAM/SCHIPHOL airport - ACCRA/KOTOKA INTERNATIONAL airport;21,317;29,388;31,320;28,904;33,680;42,737;46,156;38,723;43,720;48,641;48,563;48,819;44,968;45,003;43,739;51,190;52,484;52,261;59,739;61,909;61,740;57,096
AMSTERDAM/SCHIPHOL airport - HONG KONG/INTERNATIONAL airport;54,508;65,371;71,264;23,140;70,178;82,713;91,642;89,656;89,660;103,458;100,889;100,961;98,739;92,235;89,917;102,232;101,408;104,436;107,003;109,424;70,528;73,187
AMSTERDAM/SCHIPHOL airport - SPLIT/KASTELA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;22,750;23,288;48,735;58,638
AMSTERDAM/SCHIPHOL airport - ZAGREB/FRANJO TUDJMAN airport;:;:;:;:;:;:;:;19,972;21,659;:;:;:;21,782;:;26,198;38,138;46,594;45,574;40,630;41,132;50,546;58,745
